pressure_atm,t_inf_k,mdot_f_kg_s,y_f_s,t_s_k,t_f_k,r_f_m,r_f_over_r_s
1.000000,960.000000,9.0205665022e-08,9.6574570454e-01,1.1148456293e+02,3.1219725836e+03,7.5414446451e-04,1.5082889290e+01
1.000000,970.000000,9.0402882920e-08,9.6580123450e-01,1.1148491713e+02,3.1231720791e+03,7.5450710922e-04,1.5090142184e+01
1.000000,980.000000,9.0600178270e-08,9.6585670389e-01,1.1148527091e+02,3.1243745023e+03,7.5486994673e-04,1.5097398935e+01
1.000000,990.000000,9.0797551774e-08,9.6591211345e-01,1.1148562429e+02,3.1255798711e+03,7.5523298184e-04,1.5104659637e+01
1.000000,1000.000000,9.0995004521e-08,9.6596746422e-01,1.1148597726e+02,3.1267882136e+03,7.5559622147e-04,1.5111924429e+01
10.000000,300.000000,8.7372530620e-08,9.6977007270e-01,1.4863421082e+02,3.3555965134e+03,7.8207992186e-04,1.5641598437e+01
10.000000,310.000000,8.7575595098e-08,9.6981626225e-01,1.4863473243e+02,3.3567964179e+03,7.8242170876e-04,1.5648434175e+01
10.000000,320.000000,8.7778728508e-08,9.6986237263e-01,1.4863525310e+02,3.3580014949e+03,7.8276343189e-04,1.5655268638e+01
10.000000,330.000000,8.7981945049e-08,9.6990841449e-01,1.4863577298e+02,3.3592121140e+03,7.8310516926e-04,1.5662103385e+01
10.000000,340.000000,8.8185258053e-08,9.6995439775e-01,1.4863629215e+02,3.3604286204e+03,7.8344699399e-04,1.5668939880e+01
10.000000,350.000000,8.8388679981e-08,9.7000033164e-01,1.4863681074e+02,3.3616513337e+03,7.8378897445e-04,1.5675779489e+01
10.000000,360.000000,8.8592222446e-08,9.7004622472e-01,1.4863732883e+02,3.3628805484e+03,7.8413117441e-04,1.5682623488e+01
10.000000,370.000000,8.8795896253e-08,9.7009208491e-01,1.4863784652e+02,3.3641165362e+03,7.8447365318e-04,1.5689473064e+01
10.000000,380.000000,8.8999711398e-08,9.7013791947e-01,1.4863836389e+02,3.3653595452e+03,7.8481646570e-04,1.5696329314e+01
10.000000,390.000000,8.9203677103e-08,9.7018373507e-01,1.4863888101e+02,3.3666098011e+03,7.8515966272e-04,1.5703193254e+01
10.000000,400.000000,8.9407801840e-08,9.7022953781e-01,1.4863939795e+02,3.3678675086e+03,7.8550329090e-04,1.5710065818e+01
10.000000,410.000000,8.9612093335e-08,9.7027533321e-01,1.4863991477e+02,3.3691328504e+03,7.8584739295e-04,1.5716947859e+01
10.000000,420.000000,8.9816558607e-08,9.7032112624e-01,1.4864043154e+02,3.3704059896e+03,7.8619200775e-04,1.5723840155e+01
10.000000,430.000000,9.0021203986e-08,9.7036692137e-01,1.4864094830e+02,3.3716870698e+03,7.8653717050e-04,1.5730743410e+01
10.000000,440.000000,9.0226035123e-08,9.7041272255e-01,1.4864146509e+02,3.3729762152e+03,7.8688291281e-04,1.5737658256e+01
10.000000,450.000000,9.0431057034e-08,9.7045853327e-01,1.4864198196e+02,3.3742735326e+03,7.8722926288e-04,1.5744585258e+01
10.000000,460.000000,9.0636274088e-08,9.7050435653e-01,1.4864249894e+02,3.3755791098e+03,7.8757624554e-04,1.5751524911e+01
10.000000,470.000000,9.0841690068e-08,9.7055019492e-01,1.4864301605e+02,3.3768930194e+03,7.8792388248e-04,1.5758477650e+01
10.000000,480.000000,9.1047308153e-08,9.7059605059e-01,1.4864353333e+02,3.3782153163e+03,7.8827219228e-04,1.5765443846e+01
10.000000,490.000000,9.1253130979e-08,9.7064192529e-01,1.4864405079e+02,3.3795460413e+03,7.8862119060e-04,1.5772423812e+01
10.000000,500.000000,9.1459160618e-08,9.7068782039e-01,1.4864456844e+02,3.3808852190e+03,7.8897089025e-04,1.5779417805e+01
10.000000,510.000000,9.1665398638e-08,9.7073373689e-01,1.4864508630e+02,3.3822328605e+03,7.8932130134e-04,1.5786426027e+01
10.000000,520.000000,9.1871846096e-08,9.7077967546e-01,1.4864560438e+02,3.3835889632e+03,7.8967243141e-04,1.5793448628e+01
10.000000,530.000000,9.2078503579e-08,9.7082563642e-01,1.4864612268e+02,3.3849535115e+03,7.9002428552e-04,1.5800485710e+01
10.000000,540.000000,9.2285371214e-08,9.7087161980e-01,1.4864664120e+02,3.3863264778e+03,7.9037686639e-04,1.5807537328e+01
10.000000,550.000000,9.2492448686e-08,9.7091762533e-01,1.4864715994e+02,3.3877078222e+03,7.9073017450e-04,1.5814603490e+01
10.000000,560.000000,9.2699735282e-08,9.7096365245e-01,1.4864767889e+02,3.3890974951e+03,7.9108420822e-04,1.5821684164e+01
10.000000,570.000000,9.2907229875e-08,9.7100970037e-01,1.4864819803e+02,3.3904954353e+03,7.9143896394e-04,1.5828779279e+01
10.000000,580.000000,9.3114930985e-08,9.7105576804e-01,1.4864871737e+02,3.3919015727e+03,7.9179443613e-04,1.5835888723e+01
10.000000,590.000000,9.3322836763e-08,9.7110185421e-01,1.4864923689e+02,3.3933158277e+03,7.9215061755e-04,1.5843012351e+01
10.000000,600.000000,9.3530945048e-08,9.7114795738e-01,1.4864975656e+02,3.3947381126e+03,7.9250749924e-04,1.5850149985e+01
10.000000,610.000000,9.3739253360e-08,9.7119407590e-01,1.4865027637e+02,3.3961683320e+03,7.9286507075e-04,1.5857301415e+01
10.000000,620.000000,9.3947758930e-08,9.7124020793e-01,1.4865079630e+02,3.3976063827e+03,7.9322332019e-04,1.5864466404e+01
10.000000,630.000000,9.4156458732e-08,9.7128635147e-01,1.4865131633e+02,3.3990521558e+03,7.9358223432e-04,1.5871644686e+01
10.000000,640.000000,9.4365349485e-08,9.7133250438e-01,1.4865183643e+02,3.4005055359e+03,7.9394179872e-04,1.5878835974e+01
10.000000,650.000000,9.4574427687e-08,9.7137866438e-01,1.4865235657e+02,3.4019664023e+03,7.9430199788e-04,1.5886039958e+01
10.000000,660.000000,9.4783689636e-08,9.7142482909e-01,1.4865287674e+02,3.4034346300e+03,7.9466281527e-04,1.5893256305e+01
10.000000,670.000000,9.4993131435e-08,9.7147099602e-01,1.4865339690e+02,3.4049100890e+03,7.9502423349e-04,1.5900484670e+01
